content,score,at,userName
Bagus tapi habis main kena iklan mulu yaa tapi bagus ketagihan sih main nya tapi tolong kurangi iklan,5,2025-02-17 05:13:16,Pengguna Google
bagus banget grafis nyA,5,2025-02-17 04:53:36,Pengguna Google
Payah,1,2025-02-17 04:41:15,Pengguna Google
game bagus,5,2025-02-17 04:35:57,Pengguna Google
game seru,5,2025-02-17 04:31:52,Pengguna Google
"Seru banget, heromya balance ga kaya game sebelah bisa menang 1 vs 5, disini skill dan kerjasama tim itu perlu banget",5,2025-02-17 04:31:41,Pengguna Google
game nya bagus cik?????,4,2025-02-17 04:21:57,Pengguna Google
sya pertama kali coba gamenya memang seseru itu,5,2025-02-17 04:20:18,Pengguna Google
good,5,2025-02-17 04:05:34,Pengguna Google
Seru,5,2025-02-17 03:57:15,Pengguna Google
Jika ada yg afk paling tidak dia yang afk itu yang cuma berkurang bintangnya dirank sedangkan yang lainnya bintangnya tetap sama tanpa berkurang sedikitpun,2,2025-02-17 03:45:52,Pengguna Google
Game terbaik dari pada game sebelah,5,2025-02-17 03:23:02,Pengguna Google
"Skin sangat sangat ok, tp game sering mengalami delay, sinyal bagus, wifi juga bagus Sering ketemu tim yg kompak AFK Makanya makin kesini makin sepi rating pun makin turun, jgn cuma rame event skin gratis doang!!!",4,2025-02-17 03:22:25,Pengguna Google
"Jaringan sering terganggu padahal sinyal wifi Aman, dan tiba2 fps drop, tolong diperbaiki",1,2025-02-17 03:22:13,Pengguna Google
Good game,5,2025-02-17 03:19:15,Pengguna Google
"Stop ngasih aku dengan tim tolol. Pada war semua, ga ada yg push tower. Udah war kalah lagi.",1,2025-02-17 03:02:30,Pengguna Google
ga pernah main MOBA sekali coba ini langsung bucin,5,2025-02-17 02:55:18,Pengguna Google
"Tolong di di beri tahu kalau harus membeli menggunakan token , kerana saya masih punya tiket untuk mengaca , mengapa langsung menggunakan token tampa pemberitahuan, 😞",1,2025-02-17 02:42:56,Pengguna Google
"Game nya bagus banget😁😁, tapi ada beberapa kekurangan seperti nama pada Hero terlalu China, saat mencapai rank diamond musuh nya jadi susah banget, dan dah itu aja sih 💅🏻👁️👄👁️💅🏻",4,2025-02-17 02:37:50,Pengguna Google
Pantes dead game ampas gini,1,2025-02-17 02:00:12,Pengguna Google
Bagus saya suka game nya,5,2025-02-17 01:36:31,Pengguna Google
Plis jangan hapus spel emergency(teleport) enk banget sumpah spel tuh buat ngpush,5,2025-02-17 01:34:54,Pengguna Google
The best lebih baik dari game ml dan gak pelit,5,2025-02-17 01:34:20,Pengguna Google
"Untuk game nya keren,dan semua nya sudah bagus, namun, saat saya matchmaking, musuhnya di rank yang lebih tinggi dari saya, alhasil saya kalah, mohon untuk memperbaiki matchmaking agar lebih baik lagi.sekian terimakasih dari saya. mohon di baca oleh developer game.",4,2025-02-17 01:29:02,Pengguna Google
keren,5,2025-02-17 01:04:35,Pengguna Google
"gamenya bagus, cuman 1 masalah matching nya gak normal, bisa bisanya solo ketemu duo sampai squad",5,2025-02-17 01:00:46,Pengguna Google
"sejauh ini amanlah, belum ada lag",5,2025-02-17 00:59:07,Pengguna Google
sangat bguss,5,2025-02-17 00:52:00,Pengguna Google
Baik,4,2025-02-17 00:40:49,Pengguna Google
gamenya seru ga kayak mobile legend banyak dark sistem nya,5,2025-02-17 00:12:51,Pengguna Google
sekin geratis untuk ku,5,2025-02-17 00:07:00,Pengguna Google
Pembagian tim tidak adil,5,2025-02-17 00:04:28,Pengguna Google
"APALAH INI GAME FPS AMAN PING HIJAU TERUS TIDAK TURUN, DAN SAAT TES DIAGNOSA JARINGAN TETAP HIJAU, TAPI KENAPA SAAT MAIN TETAP DELAY DAN DELAY NYA 1 DETIK APALAH INI GAME HANYA FOKUS PADA EVENT TIDAK PADA GAMEPLAY 😂😂",1,2025-02-16 23:59:32,Pengguna Google
1. Banyak player yang memakai hero tidak sesuai lane. 2. Sering lag saat menggunakan data seluler. 3. Matchmaking tidak seimbang.,1,2025-02-16 23:54:36,Pengguna Google
"mantap grafik memanjakan mata, walaupun byk hero anehnya",5,2025-02-16 23:52:26,Pengguna Google
Mantap,5,2025-02-16 23:28:01,Pengguna Google
ada bug tolong di perbaiki katanya skin gratis semua kok gak gratis,5,2025-02-16 23:23:46,Pengguna Google
ini kok game nya ngebug apa gimana nih kok gw gk bisa download daleman game nya padahal gw pake wifi kalo gini terus mending hupus game nya gk enak diliat nya soalnya kaya main kelereng bulet bulet warna biru soalnya gk bisa download hero nya,1,2025-02-16 23:19:20,Pengguna Google
keren,5,2025-02-16 23:12:36,Pengguna Google
the best moba game ever,5,2025-02-16 23:08:48,Pengguna Google
"Kesel banget tiap mau buka tab event pasti harus ""download data"" Padahal data udah kedownload semua. Baru normal pas abis main. Tolong dong tambahin customer service nya. Agak ngeganggu soalnya kalau ga secepatnya diperbaiki.",1,2025-02-16 23:04:35,Pengguna Google
Mantap,5,2025-02-16 22:07:35,Pengguna Google
"sistem matchmaking yang tidak seimbang,saya pernah bertemu bronze di rank grandmaster,dan saya memiliki bukti fotonya",1,2025-02-16 21:17:09,Pengguna Google
game baik,5,2025-02-16 21:15:06,Pengguna Google
"Kenapa Hero cao cao tidak ada di hok global,saya ingin mencobanya / bisa digunakan hanya di klasik mode normal dan kenapa skin agudo epik tidak bisa di beli",4,2025-02-16 21:12:25,Pengguna Google
mantap,4,2025-02-16 20:35:34,Pengguna Google
--> 5 vs 5 biar bisa Mabar sampe legend dan seterusnya jangan mentok Mabar 5 sampai epic saja Delete bot <----------,3,2025-02-16 20:26:38,Pengguna Google
terbaik,5,2025-02-16 19:46:46,Pengguna Google
Game isinya dark system.. Sumpah mending botnya ML,1,2025-02-16 19:46:26,Pengguna Google
bagussss,5,2025-02-16 19:41:21,Pengguna Google
mantap,5,2025-02-16 19:11:51,Pengguna Google
match ga seimbang dapet tim ampas mulu,5,2025-02-16 18:56:48,Pengguna Google
baguslah sistem matchmaking nya ga kayak game sebelah wkwkw,5,2025-02-16 18:50:59,Pengguna Google
game isi nya orang lol semua,1,2025-02-16 18:42:23,Pengguna Google
pokoknya bgus dan tdk kalah jauh deng mlbb,5,2025-02-16 18:26:20,Pengguna Google
Bgus banget menurut gua mah,5,2025-02-16 18:23:37,Pengguna Google
game nya seru,4,2025-02-16 18:18:51,Pengguna Google
"Game nya sih Oke , cuma kalo main tanpa party lumayan susah juga, kadang 2x win 18x lose kan gak ngotak, padahal udah berusaha semaksimal mungkin untuk push rank, eh au ah gelap 🗿",5,2025-02-16 18:04:55,Pengguna Google
mantap,5,2025-02-16 17:58:28,Pengguna Google
susah naik nya lama-lama males,3,2025-02-16 17:52:24,Pengguna Google
Game moba terbaik kalau anda punya hp mid range ke atas..! Ga ada player sampah recall recall apalagi player bucin beban asw,5,2025-02-16 17:49:22,Pengguna Google
sangat bagus,5,2025-02-16 17:42:16,Pengguna Google
beuuuuuhhh,5,2025-02-16 17:26:38,Pengguna Google
terimakasih sudah membuat hatiku senang. pensi pubg pindah ke sini,5,2025-02-16 17:20:13,Pengguna Google
"game tidak balance karena hero ziya terlalu annoying, menit 5 sudah lv 15 max lv 25 . nerf ziya menjadi lv max 15 atau saya uninstall game nya.",1,2025-02-16 17:19:52,Pengguna Google
semoga selalu improve,5,2025-02-16 17:12:13,Pengguna Google
bagus,5,2025-02-16 17:03:38,Pengguna Google
Apk nya keren,4,2025-02-16 16:49:21,Pengguna Google
"Stupid and lowly matchmaking. FIX THE MATCHMAKING, WHY I ALWAYS GET TROLLED? GM WHILE MY TEAMMATES ARE MASTER 5 DOWN!?",1,2025-02-16 16:33:41,Pengguna Google
"game apa lah kalah dikit di hukum,kasar dikit di hukum,kalok ga boleh main bilang aja admin,semua kok di larang",1,2025-02-16 16:32:28,Pengguna Google
mantap coy,5,2025-02-16 16:07:37,Pengguna Google
bagus saya seneng dengan game nya mantap,5,2025-02-16 16:06:02,Pengguna Google
Wah game ini sangat bagus siap sangka lebih dari ml dan gamenya cukup membuat ml cukup di saingi di tambah lagi game ini jarang ada tim yang sengaja kalah seperti afk menggangu tim mencuri baf tim intinya beda sekali dengan ml darksistem. bintang untuk honor of kinga⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️,5,2025-02-16 16:04:17,Pengguna Google
"Tolong kasih block orang tak terbatas,jangan hanya 3 orang.biar ketika main ranked tidak bertemu orang yang tidak bisa bermain bikin emosi saja,..",1,2025-02-16 16:00:32,Pengguna Google
"Game jelek, gua saranin jangan download",1,2025-02-16 15:47:27,Pengguna Google
asik lebih menyenngkn,5,2025-02-16 15:44:19,Pengguna Google
mantap,5,2025-02-16 15:39:17,Pengguna Google
agak lag c,5,2025-02-16 15:30:45,Pengguna Google
keren,5,2025-02-16 15:30:38,Pengguna Google
sangat cocok di main kan ketika gabut,5,2025-02-16 15:24:49,Pengguna Google
game nya bagus cuman device ku kurang mendukung.so far is good,5,2025-02-16 15:15:35,Pengguna Google
cuman banyak update ya doang,5,2025-02-16 15:15:30,Pengguna Google
mantap lanjut kan,5,2025-02-16 15:15:26,Pengguna Google
"Cukup objektif saat memberikan team yang sesuai, saya harap ada system hukuman yang lebih baik bila ada yang melakukan kesalahan secara sengaja.",5,2025-02-16 15:07:38,Pengguna Google
💫,5,2025-02-16 14:59:08,Pengguna Google
bagus aja,5,2025-02-16 14:58:20,Pengguna Google
Menurut Saya Ini sudah bagus Dari grafik gameplay Cuman selalu dan selalu matcmakingnya berantakan Dan juga Susah bet Mau naikin mmr itu aja menurut gw bagusan ini sih dari game moba lainnya well ml juga,3,2025-02-16 14:58:04,Pengguna Google
"Sistem pemilihan match tidak bagus, dimana tim dan musuh tak seimbang.",1,2025-02-16 14:58:02,Pengguna Google
ini bagus sekali ini cocok untuk dimainkan,5,2025-02-16 14:56:31,Pengguna Google
bagus bngttt,5,2025-02-16 14:51:28,Pengguna Google
"Membuat spell Emergence dan membuat Hero yang harus dibanned bertambah, disaat slot banned masih 4 adalah keputusan yang kurang. Membuat kedua pihak bingung harus ban Hero apa. Ditambah ada Hero yang melesat dengan adanya spell ini, Liu Shan. Berharap Tencent nerf menghapus damage ke tower.",2,2025-02-16 14:51:17,Pengguna Google
katanya free tapi grapik nya 😂😂😂ngakak gw,1,2025-02-16 14:51:08,Pengguna Google
Game nya bagus tapi hp gw gak sanggup sama memori nya,3,2025-02-16 14:49:14,Pengguna Google
Tai lah ngasih team ga ngotak,1,2025-02-16 14:47:50,Pengguna Google
tolong metmeking nya yng selalu berat sebelah,1,2025-02-16 14:47:33,Pengguna Google
akusukasekali,5,2025-02-16 14:46:45,Pengguna Google
mantap,5,2025-02-16 14:45:20,Pengguna Google
"Mobile legends kalah jauh sama fitur"" yg ada di game ini terkadang dari segi draft pick Hero lebih bagus Ini lebih keren daripada mobile legends",5,2025-02-16 14:43:33,Pengguna Google
"Game nya seru, dan banyak skin² gratis nya, jangan lupa untuk bagi² terus skin bagus ya.",5,2025-02-16 14:41:14,Pengguna Google
Game asu game rusk musuh nya kaya badak Bagusan mobile legends dapt skin legend gratis honor of king jelek aku kasih bintang 5🥳🥳,1,2025-02-16 14:36:41,Pengguna Google
Kenapa jaringan digame tiba-tiba mati? Padahal jaringan di wifi dan hp bagus:/,5,2025-02-16 14:26:58,Pengguna Google
🥹,5,2025-02-16 14:20:37,Pengguna Google
keren,5,2025-02-16 14:13:29,Pengguna Google
Bintang 1 ajh. Lemot. Sering eror,1,2025-02-16 14:12:52,Pengguna Google
mirip ml,5,2025-02-16 14:12:14,Pengguna Google
good,5,2025-02-16 14:08:27,Pengguna Google
bagus banget game nya dan sangat seru kalian wajib download,5,2025-02-16 13:58:19,Pengguna Google
Sama aja kayak ml gk ada beda Tapi sih seruan ml aku rasa kurang seru aku rasa heronya mekaniknya gk susah susah amat,3,2025-02-16 13:50:36,Pengguna Google
Setelah update akun ku hilang saat login malah mulai awal lagi d suruh buat akun baru lg,1,2025-02-16 13:45:52,Pengguna Google
game PELAGIATT (ML),1,2025-02-16 13:45:17,Pengguna Google
ok,3,2025-02-16 13:43:57,Pengguna Google
best game ever,5,2025-02-16 13:38:42,Pengguna Google
"Cirus,dun,di nerf lah aku ketemu terus harga koin tinggiin dikit lah",1,2025-02-16 13:37:57,Pengguna Google
ku ksih pul,5,2025-02-16 13:36:17,Pengguna Google
bgus bgt game-nya,5,2025-02-16 13:33:45,Pengguna Google
"Gamenya udah bagus tapi tolong perbaiki machtmakingnya!! Masa main rank kalah terus, menang juga paling 3 kali doang habis itu kalah lagi. Gimana nggak stres mainin game ini, 11/12 sama mobile legend nggak ada bedanya. Aku pergi❤️‍🩹❤️‍🩹",2,2025-02-16 13:30:41,Pengguna Google
ok,5,2025-02-16 13:30:16,Pengguna Google
"Isi player BOT SEMUA, BUTA MAP. ANIMASI SKILL HERO PADA LAMA SEMUA. WAJAR KALAH SAMA ML.",1,2025-02-16 13:27:47,Pengguna Google
"Hok mah lebih baik daripada game sebelah tuh yang ada kata ""Legend""nya😹",5,2025-02-16 13:24:19,Pengguna Google
Cocok,1,2025-02-16 13:24:18,Pengguna Google
"Jelek ah, sekali dapat tim asli orang, dikasih musuh yg pro, males bro",1,2025-02-16 13:15:36,Pengguna Google
Gimana ini kenapa ga bisa login FB,1,2025-02-16 13:14:29,Pengguna Google
Otw top gelobal sakeer,5,2025-02-16 13:08:45,Pengguna Google
Dark system parah,1,2025-02-16 13:08:13,Pengguna Google
Lebih mangtap dari mobile legend,4,2025-02-16 13:07:07,Pengguna Google
Seru sekali lebih dari mobile legends,5,2025-02-16 13:03:11,Pengguna Google
"Gameplay variatif, ramah kepada player baru dengan banyak skin gratis berkualitasnya. Sangat recommended untuk yang suka genre MOBA",5,2025-02-16 13:00:45,Pengguna Google
Maaf sebelum nya karna kasar namun semoga nanti bisa lebih enak dan seru selama bermain dan banyakin fiturnya dan banya kin heronya,4,2025-02-16 13:00:04,Pengguna Google
bagus,4,2025-02-16 12:56:03,Pengguna Google
"hp kentangku ga kuat main ini game, padahal game sebelah lancar lancar aja, sayang bgt",3,2025-02-16 12:54:27,Pengguna Google
game nya bagus harga nya doang mahal,5,2025-02-16 12:51:25,Pengguna Google
"Bot banyak, Game kebal report player cina, tier tidak seimbang, tidak nyaman, server harus dipisahkan",2,2025-02-16 12:44:33,Pengguna Google
game nya seru,5,2025-02-16 12:36:46,Pengguna Google
bagus,4,2025-02-16 12:26:05,Pengguna Google
♥️♥️♥️♥️♥️,5,2025-02-16 12:14:00,Pengguna Google
enak buat iseng2,5,2025-02-16 12:08:13,Pengguna Google
Cuman kesel sama Trolling dari pemain Philipina dan Vietnam suka bikin asal coba Hero yg bukan lanenya,5,2025-02-16 12:07:05,Pengguna Google
Game rusak... Matching rusak Saya benci benci memainkan game ini bikin emosi jadinya,1,2025-02-16 12:05:42,Pengguna Google
"mantap , tapi dapat tim suka yang draksistemm",4,2025-02-16 11:56:41,Pengguna Google
untuk keseluruhan sudah sangat bagus tapi tolong dong kok aku gabisa ganti wilayah padahal belom pernah ganti tiba tiba ada di hongkong gabisa di ganti iatvdi pengaturannya beda sama yang orang orang tutorialkan,5,2025-02-16 11:49:05,Pengguna Google
menarik untuk di mainkan bersama temen temen😍😍😍😍😍😍😍😍😍,5,2025-02-16 11:45:57,Pengguna Google
bagus,5,2025-02-16 11:39:13,Pengguna Google
"hiro2 nya terlalu banyak stun jadi game play nya gak se menarik MLBB ,klw udah banyak stun usahain skil stun perhiro lamain jadi asasin yang susah war nyaa gak guna jadi assn,satu lagi kadang tank nya tebal banget ama tower kadang hiro tank nya tebein tim masuk ke tower damage towernya plis di tambahin damagenya biar war di tower harus nunguin minion makasihh",1,2025-02-16 11:34:42,Pengguna Google
Aplikasi game paling tolol di play store,1,2025-02-16 11:33:06,Pengguna Google
Sayangnya Setiap game moba pasti sistem pilih kasih/Dark Sistem Gak Adil,2,2025-02-16 11:26:26,Pengguna Google
smooth,5,2025-02-16 11:25:44,Pengguna Google
lumayan bagus tolong untuk balik ke base nya lebih di percepat lagi waktu nya,4,2025-02-16 11:25:10,Pengguna Google
mantapp,5,2025-02-16 11:23:37,Pengguna Google
Mohon maaf nih untuk staf honor of king setiap kali saya ingin memulai match tetapi tidak bisa masuk padahal jaringan saya baik-baik saja tolong diperbaiki karena saya merasa tidak nyaman bermain honor of king,4,2025-02-16 11:22:00,Pengguna Google
BAIK TAPI GRAFIK NYA BAGUS SAMPAI HP KENTANG SAYA LAG,4,2025-02-16 11:20:45,Pengguna Google
jaringan bagus tapi ping merah terus tolong main jadi kalah mulu anjir main sama BOT semua.. sue.... mana bisa naik rank parah nih game.. parahh ni game temen robot musuh robot.... parahhh,1,2025-02-16 11:19:13,Pengguna Google
seru,5,2025-02-16 11:11:43,Pengguna Google
"aku suka semua efek Skin di sini, dan harganya tidak terlalu mahal",5,2025-02-16 11:10:16,Pengguna Google
Berhenti gw main ini banyak dark system.. Gak baik untuk gw lama² bisa stress,4,2025-02-16 11:05:16,Pengguna Google
Saya muak.!,1,2025-02-16 11:04:43,Pengguna Google
lumayan lah,3,2025-02-16 10:48:29,Pengguna Google
bagus,5,2025-02-16 10:46:50,Pengguna Google
masih mencoba,5,2025-02-16 10:45:54,Pengguna Google
Tolong yang untuk download resources nya kurangi masak sampai 10 gb+ skinnya cuma itu kayak mobile Legend noh skin banyak cuma 8 gb + hero banyak,2,2025-02-16 10:45:00,Pengguna Google
"gamenya seru min, hero-hero nya juga 90% gratis.. thank you!",5,2025-02-16 10:44:42,Pengguna Google
Game nya bagus ga kayak mobile legend plagiat ga bermanfaat sampah banyak dark system.,5,2025-02-16 10:43:54,Pengguna Google
games yang cukup seru kita bisa bermain bersama warga China,5,2025-02-16 10:43:39,Pengguna Google
"game nya agak buruk karena, jaringan yang buruk padahal kualitas jaringan baik,kualitas efek dan grafik not bad,dll.Banyak event yg kurang menarik terutama di bulan ini dan sedikit skin gratis.Dan masih ada kekurangan seperti dimana banyak aku temui pemain dalam tim ku yang kurang baik dalam bermain sementara,tim musuh sangat baik dalam bermain ,mohon untuk pihak game memperhatikan hal ini mohon maaf jika saya ada salah dalam berkata-kata terimakasih...",1,2025-02-16 10:43:10,Pengguna Google
Plagiat🤪👎,1,2025-02-16 10:37:59,Pengguna Google
"Soal gamenya bagus tapi bagian permainan nya itu loh dapat tim bot/komputer di rank dan ada juga yg afk, game play tidak seimbang, ketemu pemain dongo di rank padahal sudah GM tapi ketemu player dongo dark sistem saya rasa itu tidak adilll, saya sangat kesal sangat bertemu dengan tim bot/tolol di rank itu saja terus dari tadi 😡, tolong lah di permudah saya tidak nyaman dan harus gendong tim terus ini sangat membosankan",2,2025-02-16 10:27:42,Pengguna Google
I give 5 star because I like it thank you,5,2025-02-16 10:19:02,Pengguna Google
bagus,5,2025-02-16 10:14:33,Pengguna Google
the best,5,2025-02-16 10:11:37,Pengguna Google
ok.,5,2025-02-16 10:03:18,Pengguna Google
"What game is this, the game is not fair, I always meet strong enemies and always lose, I stop playing this unfair game!!!!",1,2025-02-16 09:57:59,Pengguna Google
mantap,5,2025-02-16 09:53:20,Pengguna Google
"Gamenya bagus tapi ya gw player ml,dari segi grafik beda bangat Kalo soal match gak seimbang gw dah biasa jadi gak papa Sebelumnya maaf kalo nyinggung",5,2025-02-16 09:49:57,Pengguna Google
ya keren lah hampir mirip sama game ml tapi ini beda,4,2025-02-16 09:48:21,Pengguna Google
mantap lah,5,2025-02-16 09:44:05,Pengguna Google
bagua banget ga kaya game sebelah manah murah murah lagi skin nya kalo di game sebelah mah mahal enakan di game hok grafik bagus skin efek nya jugaa beh bagus semuaa,5,2025-02-16 09:32:22,Pengguna Google
Game plagiat mobile legends aja kalo mau buat game itu gak usah niru niru buat itu yang kreatif,1,2025-02-16 09:31:05,Pengguna Google
Kurang memuaskan .gak ada Hero gratis dan skin grs.,1,2025-02-16 09:25:27,Pengguna Google
Jaringan bagus tapi ngelag mulu,1,2025-02-16 09:23:54,Pengguna Google
bagus,4,2025-02-16 09:22:26,Pengguna Google
"....... Saya lagi kesel aja kok.. Stuck di master 2 bintang 4.setiap abis bintang 4 pasti turun lagi, terus naik lagi bintang 4...kalo lagi winstreak saya kasih bintang 5 kok",1,2025-02-16 09:13:30,Pengguna Google
gamenya berat tolong developer,2,2025-02-16 09:11:37,Pengguna Google
bagus,5,2025-02-16 09:08:24,Pengguna Google
Cape Main Solo Dapet Tim GK Bener GK tau line Taunya War Doang,5,2025-02-16 09:03:55,Pengguna Google
"Dulu game ini ukuran lebih ringan dari mobile legend, makin kesini kok makin besar?",2,2025-02-16 09:02:11,Pengguna Google
Banyak benefit gratisan untuk player baru. Harga skin ataupun item lainnya terbilang cukup murah :),5,2025-02-16 08:45:56,Pengguna Google
Min beberapa fitur lu di tiru sama game seblah,5,2025-02-16 08:30:59,Pengguna Google
"penjelasan ku hanya 1 game ini bagus setiap hari dapet skin gratis, dan skin nya bgs² lagi aku suka bgt sih tpi aku minta tolong blgnya di perbaiki lagi yaa yg kaya, loading nya lama bgt, pdhl wifinya bgs itu aja saran ku Terima gaji🗿💅",5,2025-02-16 08:28:49,Pengguna Google
nice game,5,2025-02-16 08:19:56,Pengguna Google
"sebagai solo player kecewa dengan sistem report game ini , sudah jelas mencuri lane tapi kenapa tidak bisa direport hanya karena nilainya tinggi",1,2025-02-16 08:19:17,Pengguna Google
sangat bagus,5,2025-02-16 08:11:12,Pengguna Google
Bagusan ml... karna ini game sering keluar tiba² klo lagi main dan garga hero nya mahal,1,2025-02-16 08:09:42,Pengguna Google
bad,1,2025-02-16 07:50:52,Pengguna Google
"bagus sangat lah bagus di bandingkan game sebelah ini lebih mudah musuhnya kayak bot, grafik lebih bagus, dan lebih hd. cuman emang UI dari game ini agak sulit dipahami coba dong developer kalo bisa di upgrade ya UI nya Dah Sihh seterusnya saya ucapkan terimakasih ke honor of king karena telah memberikan banyak hadiah kepada saya dan sering² berbagi yahh TERIMAKASIH 🙏",5,2025-02-16 07:50:47,Pengguna Google
ok,5,2025-02-16 07:45:29,Pengguna Google
acc si,5,2025-02-16 07:32:58,Pengguna Google
